<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUFF.US,5,20211104,152000,26.67,26.67,26.67,26.67,7500,0
RUFF.US,5,20211104,161000,26.52,26.67,26.52,26.67,11213,0
RUFF.US,5,20211104,161500,26.58,26.58,26.58,26.58,528,0
RUFF.US,5,20211104,191000,26.59,26.59,26.59,26.59,100,0
RUFF.US,5,20211104,191500,26.6355,26.6355,26.6355,26.6355,750,0
RUFF.US,5,20211104,194500,26.69,26.7,26.69,26.7,200,0
RUFF.US,5,20211104,195000,26.7,26.7,26.7,26.7,600,0
RUFF.US,5,20211104,195500,26.7,26.7,26.7,26.7,17110,0
RUFF.US,5,20211104,200500,26.63,26.65,26.62,26.62,2500,0
RUFF.US,5,20211104,201500,26.63,26.63,26.63,26.63,1100,0
RUFF.US,5,20211104,202000,26.65,26.68,26.65,26.68,600,0
RUFF.US,5,20211104,202500,26.68,26.68,26.68,26.68,2200,0
RUFF.US,5,20211104,203000,26.6899,26.6899,26.6899,26.6899,550,0
RUFF.US,5,20211104,204000,26.63,26.64,26.62,26.62,1200,0
RUFF.US,5,20211104,204500,26.62,26.62,26.62,26.62,100,0
RUFF.US,5,20211105,170500,26.78,26.78,26.78,26.78,1850,0
RUFF.US,5,20211105,182000,26.535,26.535,26.535,26.535,640,0
RUFF.US,5,20211105,183500,26.54,26.56,26.54,26.56,1700,0
RUFF.US,5,20211105,184000,26.56,26.56,26.56,26.56,1300,0
RUFF.US,5,20211105,191500,26.59,26.62,26.59,26.61,1200,0
RUFF.US,5,20211105,201000,26.555,26.555,26.555,26.555,1450,0
RUFF.US,5,20211105,201500,26.58,26.61,26.56,26.61,1800,0
RUFF.US,5,20211105,202000,26.61,26.61,26.61,26.61,1100,0
RUFF.US,5,20211108,153500,26.82,26.82,26.82,26.82,1500,0
RUFF.US,5,20211108,180000,26.92,26.92,26.92,26.92,9250,0
RUFF.US,5,20211108,205000,26.93,26.94,26.93,26.94,1500,0
RUFF.US,5,20211108,205500,26.94,26.94,26.94,26.94,200,0
RUFF.US,5,20211108,210500,26.96,26.96,26.96,26.96,101,0
RUFF.US,5,20211108,214000,26.94,26.94,26.94,26.94,9919,0
RUFF.US,5,20211109,154000,26.92,26.9362,26.92,26.9362,247,0
RUFF.US,5,20211109,174500,26.569,26.569,26.569,26.569,100,0
RUFF.US,5,20211109,180500,26.4101,26.413,26.4101,26.413,340,0
RUFF.US,5,20211109,182000,26.43,26.44,26.4286,26.44,4200,0
RUFF.US,5,20211109,182500,26.44,26.44,26.44,26.44,1200,0
RUFF.US,5,20211109,184500,26.42,26.43,26.419,26.43,3700,0
RUFF.US,5,20211109,185000,26.4399,26.4399,26.43,26.43,2000,0
RUFF.US,5,20211109,191000,26.41,26.41,26.41,26.41,138,0
RUFF.US,5,20211109,202000,26.47,26.47,26.47,26.47,200,0
RUFF.US,5,20211109,204000,26.4231,26.4231,26.4231,26.4231,500,0
RUFF.US,5,20211109,204500,26.4052,26.4052,26.4052,26.4052,4000,0
RUFF.US,5,20211109,205000,26.385,26.385,26.33,26.33,700,0
RUFF.US,5,20211109,205500,26.46,26.46,26.46,26.46,262,0
RUFF.US,5,20211109,210500,26.45,26.45,26.45,26.45,3400,0
RUFF.US,5,20211109,211500,26.45,26.45,26.425,26.43,2400,0
RUFF.US,5,20211109,212000,26.43,26.63,26.43,26.63,1400,0
RUFF.US,5,20211109,213000,27,27,26.43,26.43,1100,0
RUFF.US,5,20211109,213500,26.42,26.42,26.42,26.42,500,0
RUFF.US,5,20211109,214500,26.45,26.45,26.45,26.45,100,0
RUFF.US,5,20211110,153000,26.13,26.13,26.13,26.13,1600,0
RUFF.US,5,20211110,160000,26.1801,26.1801,26.1801,26.1801,100,0
